,num_if,num_else,num_switch,num_loop,num_break,num_priority,num_binSearch,num_minMax,num_sort,num_hash_map,num_hash_set,num_recursive,num_nested_loop,num_vari,num_method,num_state,complexity,complexity_class,efficiency,filename
0,0,0,0,2,0,0,0,1,0,0,0,0,2,4,2,4,n*k,quadratic,inefficient,BinomialCoefficientDP9GeeksforGeeks-3.java
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,constant,efficient,DetectiftwointegershaveoppositesignsGeeksforGeeks-1.java
2,1,0,0,2,0,0,0,0,0,0,0,0,0,9,2,7,log n (log log n,logarithmic,efficient,RandomizedAlgorithmsSet312ApproximateMedianGeeksforGeeks-1.java
3,1,0,0,1,0,0,0,0,0,0,0,1,0,3,3,5,log n,logarithmic,efficient,Counttotalsetbitsinallnumbersfrom1tonGeeksforGeeks-5.java
4,2,0,0,2,0,0,0,0,0,0,0,2,0,8,5,8,n^2,quadratic,inefficient,QuickSortGeeksforGeeks-1.java
5,3,0,0,0,0,0,0,1,0,0,0,3,0,2,2,7,mn,polynomial,inefficient,ShortestCommonSupersequenceGeeksforGeeks-2.java
6,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,2,"min(x, y, z",linear,efficient,SmallestofthreeintegerswithoutcomparisonoperatorsGeeksforGeeks-2.java
7,1,0,0,2,0,0,0,1,0,0,0,0,2,7,2,6,nw,quadratic,inefficient,01KnapsackProblemDP10GeeksforGeeks-5.java
8,7,0,0,4,0,0,0,0,0,0,0,1,0,8,4,19,v+e,linear,efficient,DetectcycleinanundirectedgraphGeeksforGeeks-1.java
9,6,0,0,9,0,0,0,0,0,0,0,1,2,14,6,26,v,linear,efficient,EulerCircuitinaDirectedGraphGeeksforGeeks-1.java
10,6,0,0,2,0,0,0,0,0,0,0,1,0,11,9,18,k + (n-k,linear,efficient,KthSmallestLargestElementinUnsortedArraySet1GeeksforGeeks-4.java
11,3,0,0,1,0,0,0,0,2,0,0,0,0,5,2,8,n * log n,linearithmic,efficient,MinimumNumberofPlatformsRequiredforaRailwayBusStationGeeksforGeeks-3.java
12,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,5,n,linear,efficient,ProgramforFibonaccinumbersGeeksforGeeks-3.java
13,3,0,0,3,1,0,0,0,0,0,0,0,0,9,2,11,n,linear,efficient,SnakeandLadderProblemGeeksforGeeks-1.java
14,4,1,0,2,1,0,0,0,0,0,0,1,0,7,3,15,n,linear,efficient,CountPossibleDecodingsofagivenDigitSequenceGeeksforGeeks-3.java
15,3,0,0,0,0,0,0,1,0,0,0,6,0,4,4,7,n,linear,efficient,LargestIndependentSetProblemDP26GeeksforGeeks-1.java
16,1,0,0,2,0,0,0,0,0,0,0,1,0,6,3,6,n^2,quadratic,inefficient,PrintallpossiblecombinationsofrelementsinagivenarrayofsizenGeeksforGeeks-1.java
17,1,0,0,6,0,0,0,0,1,0,0,0,2,11,2,14,n,linear,efficient,BucketSortGeeksforGeeks-1.java
18,4,1,0,3,0,0,0,0,0,0,0,2,0,6,5,22,n log n,linearithmic,efficient,MergeSortforDoublyLinkedListGeeksforGeeks-1.java
19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,log n,logarithmic,efficient,PositionofrightmostsetbitGeeksforGeeks-1.java
20,2,0,0,4,0,0,0,0,0,0,0,0,2,7,3,12,m*no_of_chars,quadratic,inefficient,PatternSearchingSet6EfficientConstructionofFiniteAutomataGeeksforGeeks-1.java
